Configuration,Config_ID,Baseline_Nulling,Gaussian_Smoothing,Model,Protocol,Accuracy (%),Macro F1 (%),MAE W (mm),MAE L (mm),MAE D (mm),MAE Total (mm),NMAE W (%),NMAE L (%),NMAE D (%),NMAE Total (%)
Full Preprocessing (Proposed),Config_1_Full_Prep,Enabled,Enabled,CNN PINN (PI-LGL),Repeat Scan (In-Dist),90.0,77.14285714285715,0.08493406,0.53292906,0.62195027,0.4132711,12.133438,5.329291,29.61668,15.693135
Full Preprocessing (Proposed),Config_1_Full_Prep,Enabled,Enabled,CNN PINN (PI-LGL),10-Fold LODO (Out-of-Dist),50.0,36.19047619047619,0.13830943,0.4824555,1.0231533,0.54797274,19.758492,4.824555,48.72159,24.434877
Full Preprocessing (Proposed),Config_1_Full_Prep,Enabled,Enabled,CNN Baseline (NoPINN),Repeat Scan (In-Dist),100.0,100.0,0.06835088,1.0390456,0.5342113,0.5472026,9.764412,10.390456,25.438633,15.197834
Full Preprocessing (Proposed),Config_1_Full_Prep,Enabled,Enabled,CNN Baseline (NoPINN),10-Fold LODO (Out-of-Dist),55.00000000000001,39.3073593073593,0.12762034,0.7711158,0.9003307,0.59968895,18.231478,7.711158,42.872894,22.938509
Ablation: No Baseline Nulling,Config_2_No_Nulling,Disabled,Enabled,CNN PINN (PI-LGL),Repeat Scan (In-Dist),90.0,77.14285714285715,0.099503875,0.31719333,0.7309667,0.38255462,14.214839,3.1719334,34.807938,17.398237
Ablation: No Baseline Nulling,Config_2_No_Nulling,Disabled,Enabled,CNN PINN (PI-LGL),10-Fold LODO (Out-of-Dist),55.00000000000001,38.095238095238095,0.13126588,0.5303829,0.96388865,0.5418458,18.75227,5.3038287,45.899464,23.318521
Ablation: No Baseline Nulling,Config_2_No_Nulling,Disabled,Enabled,CNN Baseline (NoPINN),Repeat Scan (In-Dist),100.0,100.0,0.07948403,1.1354743,0.46082735,0.55859524,11.354861,11.354743,21.94416,14.884587
Ablation: No Baseline Nulling,Config_2_No_Nulling,Disabled,Enabled,CNN Baseline (NoPINN),10-Fold LODO (Out-of-Dist),55.00000000000001,39.3073593073593,0.12419846,1.0868127,0.84051865,0.6838433,17.742638,10.868128,40.0247,22.878489
Ablation: No Gaussian Smoothing,Config_3_No_Smoothing,Enabled,Disabled,CNN PINN (PI-LGL),Repeat Scan (In-Dist),80.0,73.14285714285715,0.089430116,0.3972028,0.70327175,0.3966349,12.775731,3.9720278,33.489132,16.74563
Ablation: No Gaussian Smoothing,Config_3_No_Smoothing,Enabled,Disabled,CNN PINN (PI-LGL),10-Fold LODO (Out-of-Dist),50.0,37.81818181818182,0.15824392,0.34285653,0.99436873,0.4984897,22.606276,3.4285653,47.350895,24.461912
Ablation: No Gaussian Smoothing,Config_3_No_Smoothing,Enabled,Disabled,CNN Baseline (NoPINN),Repeat Scan (In-Dist),90.0,77.14285714285715,0.061664622,1.0742086,0.54334056,0.5597379,8.809232,10.742086,25.87336,15.14156
Ablation: No Gaussian Smoothing,Config_3_No_Smoothing,Enabled,Disabled,CNN Baseline (NoPINN),10-Fold LODO (Out-of-Dist),55.00000000000001,39.3073593073593,0.16404574,0.66929317,0.87191516,0.568418,23.435106,6.6929317,41.51977,23.882605
Completely Raw Sensor (No Nulling & No Smoothing),Config_4_Raw_Neither,Disabled,Disabled,CNN PINN (PI-LGL),Repeat Scan (In-Dist),80.0,57.14285714285714,0.09237196,0.30349046,0.7786938,0.39151874,13.195994,3.0349045,37.080658,17.77052
Completely Raw Sensor (No Nulling & No Smoothing),Config_4_Raw_Neither,Disabled,Disabled,CNN PINN (PI-LGL),10-Fold LODO (Out-of-Dist),40.0,29.904761904761905,0.1561462,0.4474205,0.9489254,0.51749736,22.3066,4.474205,45.186924,23.989243
Completely Raw Sensor (No Nulling & No Smoothing),Config_4_Raw_Neither,Disabled,Disabled,CNN Baseline (NoPINN),Repeat Scan (In-Dist),100.0,100.0,0.07575789,0.9544999,0.46675843,0.4990054,10.8225565,9.544999,22.226593,14.198049
Completely Raw Sensor (No Nulling & No Smoothing),Config_4_Raw_Neither,Disabled,Disabled,CNN Baseline (NoPINN),10-Fold LODO (Out-of-Dist),55.00000000000001,39.3073593073593,0.10122989,0.74768925,0.8051464,0.5513552,14.461413,7.4768925,38.340305,20.09287
