Architecture,Evaluated_Model,Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2289,3.3262,1.106,57.2,33.3,55.3,48.6,1.5537,1.7559,-5.288,-1.247
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.5664,2.1762,0.8783,141.6,21.8,43.9,69.1,1.207,1.4032,-37.248,-0.632
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,FewShot_PEFT,20,55.0,"[35.0, 75.0]",40.0,39.31,"[22.2, 56.9]",0.404,0.123,0.5734,0.9827,30.7,5.7,49.1,28.5,0.5597,0.7548,-1.233,-1.0
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Domain_Transfer_MMD,20,55.0,"[35.0, 75.0]",40.0,38.1,"[21.4, 58.2]",0.398,0.0988,0.4368,0.8771,24.7,4.4,43.9,24.3,0.4709,0.5625,-0.325,-0.762
CNN,train_01pct_NoPINN_E300_seed_42_run_20260818_100422,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.5723,0.8627,1.0035,143.1,8.6,50.2,67.3,0.8128,0.9853,-34.942,-1.14
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1917,2.8149,1.1102,47.9,28.1,55.5,43.9,1.3722,1.6376,-3.16,-1.65
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",13.33,8.33,"[0.0, 17.9]",-0.037,0.6653,1.1964,0.7312,166.3,12.0,36.6,71.6,0.8643,1.0338,-39.31,-0.018
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,FewShot_PEFT,20,40.0,"[20.0, 60.0]",41.67,36.18,"[17.1, 52.6]",0.257,0.1383,0.7094,1.0015,34.6,7.1,50.1,30.6,0.6164,0.7149,-1.7,-1.077
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Domain_Transfer_MMD,20,35.0,"[15.0, 55.0]",25.0,29.33,"[14.3, 43.6]",0.157,0.1335,0.8686,1.0234,33.4,8.7,51.2,31.1,0.6751,0.7967,-1.28,-1.145
CNN,train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240,Physics_TTA,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.096,0.6376,0.876,0.7161,159.4,8.8,35.8,68.0,0.7432,0.9498,-36.506,-0.007
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,32.73,"[17.4, 49.3]",0.289,0.2305,2.6185,1.1881,57.6,26.2,59.4,47.7,1.3457,1.4771,-4.525,-1.546
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",40.0,14.15,"[3.1, 22.7]",0.149,1.1216,1.7949,0.6734,280.4,17.9,33.7,110.7,1.1966,1.3764,-113.352,-0.326
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,FewShot_PEFT,20,55.0,"[35.0, 75.0]",40.0,39.31,"[22.2, 56.9]",0.404,0.1022,0.6434,0.8065,25.5,6.4,40.3,24.1,0.5173,0.6734,-0.514,-0.701
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Domain_Transfer_MMD,20,50.0,"[30.0, 75.0]",36.67,36.76,"[19.1, 51.1]",0.346,0.0974,0.5766,0.8409,24.3,5.8,42.0,24.1,0.505,0.6089,-0.142,-0.524
CNN,train_03pct_NoPINN_E300_seed_42_run_20260820_131219,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,6.67,"[0.0, 12.7]",-0.015,1.1975,1.1774,0.7176,299.4,11.8,35.9,115.7,1.0308,1.2352,-131.147,-0.376
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2297,2.6164,1.1666,57.4,26.2,58.3,47.3,1.3375,1.4895,-5.948,-1.864
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",23.33,13.41,"[4.4, 22.9]",0.063,0.8282,2.3804,0.964,207.1,23.8,48.2,93.0,1.3909,1.553,-59.79,-1.507
CNN,train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411,FewShot_PEFT,20,40.0,"[20.0, 65.0]",35.0,32.83,"[14.7, 49.9]",0.26,0.1582,0.643,0.967,39.5,6.4,48.3,31.4,0.5894,0.7423,-1.975,-1.133
