Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.24803567833333331,4.6537001,0.8027959399999999,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.9980437333333335,1.1492844416666668,3.1801504333333335,83.33333333333334,6
Rectangular,FewShot_PEFT,0.10560195100000001,0.3573783236666666,0.4739616313333333,50.0,6
Rectangular,Domain_Transfer_MMD,0.1223163395,0.35275013833333335,0.4296390685,50.0,6
Rectangular,Physics_TTA,0.9868000566666667,0.9282182066666667,3.082833466666667,83.33333333333334,6
Ellipse,Real_Only_Scratch,0.238034996,0.8068206275,1.0555016775000001,50.0,4
Ellipse,Source_Only_ZeroShot,0.8958088075,0.911172145,1.51059915,0.0,4
Ellipse,FewShot_PEFT,0.17795302950000003,1.6844354,1.891364575,0.0,4
Ellipse,Domain_Transfer_MMD,0.19589839900000003,1.4643564224999999,1.9969709999999998,75.0,4
Ellipse,Physics_TTA,0.8435751149999999,0.5413620625000001,1.254491825,0.0,4
Triangular,Real_Only_Scratch,0.04145328211666666,3.081843525,1.3275335316666668,66.66666666666666,6
Triangular,Source_Only_ZeroShot,1.1392196666666667,2.1042062300000004,3.3227329500000002,0.0,6
Triangular,FewShot_PEFT,0.11677146933333334,1.3253949516666668,1.4563117633333331,33.33333333333333,6
Triangular,Domain_Transfer_MMD,0.10365756325000001,1.2807531349999999,1.3992711716666666,50.0,6
Triangular,Physics_TTA,1.05149805,1.2616133663333333,3.0659205999999997,0.0,6
Step_R,Real_Only_Scratch,0.0410279035,4.3919572,1.3302814,0.0,2
Step_R,Source_Only_ZeroShot,1.46703945,0.068973543,3.09221985,0.0,2
Step_R,FewShot_PEFT,0.35856042,0.33146525800000004,1.30870855,100.0,2
Step_R,Domain_Transfer_MMD,0.37789595,0.64755488,1.18284545,100.0,2
Step_R,Physics_TTA,1.46698865,0.0690221785,3.0920946000000002,0.0,2
Step_T,Real_Only_Scratch,0.21303837,2.21377635,1.11163345,0.0,2
Step_T,Source_Only_ZeroShot,1.30691435,1.10946228,3.4050910500000002,0.0,2
Step_T,FewShot_PEFT,0.37119371,1.2797360500000001,1.1131556200000001,0.0,2
Step_T,Domain_Transfer_MMD,0.40232193,1.490443275,1.1417888999999999,0.0,2
Step_T,Physics_TTA,1.3068886,1.10953425,3.4050226500000003,0.0,2
