Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.27938351,4.215308416666666,1.00293036,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.6691400999999999,1.885411883333333,0.9223430500000002,66.66666666666666,6
Rectangular,FewShot_PEFT,0.075230539,0.799799605,0.34962081766666664,66.66666666666666,6
Rectangular,Domain_Transfer_MMD,0.11949083138333333,0.70350345,0.3852234666666667,66.66666666666666,6
Rectangular,Physics_TTA,0.6463681333333333,1.6124246833333336,0.8917458066666667,66.66666666666666,6
Ellipse,Real_Only_Scratch,0.13078414,1.1456119850000002,1.105819435,50.0,4
Ellipse,Source_Only_ZeroShot,0.618874045,2.0129664,0.278538465,0.0,4
Ellipse,FewShot_PEFT,0.2324622695,1.548690325,1.5824491250000001,50.0,4
Ellipse,Domain_Transfer_MMD,0.25597444942500003,1.6122915500000001,1.5784498750000002,75.0,4
Ellipse,Physics_TTA,0.5508199,1.44257185,0.23446702749999998,0.0,4
Triangular,Real_Only_Scratch,0.18987568166666668,3.010905446666667,1.6807249166666667,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.7384318883333333,2.452267816666667,0.8834961233333333,0.0,6
Triangular,FewShot_PEFT,0.131651659,0.9532356266666665,1.10303094,33.33333333333333,6
Triangular,Domain_Transfer_MMD,0.14680598133333334,0.951927335,1.0897188116666665,33.33333333333333,6
Triangular,Physics_TTA,0.6789548916666668,1.8671338000000002,0.9118280400000001,0.0,6
Step_R,Real_Only_Scratch,0.07868942500000001,2.011693,1.0692012,0.0,2
Step_R,Source_Only_ZeroShot,0.9953523500000001,1.9735269500000001,0.48529089000000003,0.0,2
Step_R,FewShot_PEFT,0.43277319999999997,0.66785955,1.6851865,50.0,2
Step_R,Domain_Transfer_MMD,0.427933455,0.615503775,1.5841132,50.0,2
Step_R,Physics_TTA,0.94825805,1.41587115,0.50670041,0.0,2
Step_T,Real_Only_Scratch,0.025557756,1.1147661,1.47981705,0.0,2
Step_T,Source_Only_ZeroShot,0.93403047,2.71233885,0.526285765,50.0,2
Step_T,FewShot_PEFT,0.44397721,0.690998075,0.61240399,0.0,2
Step_T,Domain_Transfer_MMD,0.464896675,0.66901493,0.6253950699999999,0.0,2
Step_T,Physics_TTA,0.934051525,2.71229265,0.526316165,50.0,2
