Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.1679463486666667,4.6642454833333336,0.6716379549999999,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.5820826616666667,1.0774570416666667,0.7062200316666666,16.666666666666664,6
Rectangular,FewShot_PEFT,0.07532773433333334,0.8760166283333334,0.47922022833333333,66.66666666666666,6
Rectangular,Domain_Transfer_MMD,0.09435250383333334,0.9131643733333332,0.5233503756666668,66.66666666666666,6
Rectangular,Physics_TTA,0.5574545633333333,0.854119765,0.6304058249999999,0.0,6
Ellipse,Real_Only_Scratch,0.32111710250000003,2.08038115,1.131607595,50.0,4
Ellipse,Source_Only_ZeroShot,0.53216348,1.3730041750000002,0.78782339,0.0,4
Ellipse,FewShot_PEFT,0.181197031,0.9429698099999999,1.6285279,25.0,4
Ellipse,Domain_Transfer_MMD,0.15748966075,1.3244268999999997,1.4883251999999998,25.0,4
Ellipse,Physics_TTA,0.47259312750000004,0.687388415,0.8558603499999999,0.0,4
Triangular,Real_Only_Scratch,0.21681210583333335,2.3033185333333335,1.6894197,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.6631521416666666,1.5613690433333334,0.8276226650000001,0.0,6
Triangular,FewShot_PEFT,0.07834361050000001,0.508304915,0.8936819933333333,16.666666666666664,6
Triangular,Domain_Transfer_MMD,0.07371424666666666,0.6479460433333334,0.9439984483333332,33.33333333333333,6
Triangular,Physics_TTA,0.63691821,1.2777815049999999,0.8681295400000001,0.0,6
Step_R,Real_Only_Scratch,0.0310559575,0.10259532835,0.7545483150000001,0.0,2
Step_R,Source_Only_ZeroShot,1.019740825,0.42091274,0.34596895000000005,0.0,2
Step_R,FewShot_PEFT,0.248245865,0.460707665,1.5215079500000002,100.0,2
Step_R,Domain_Transfer_MMD,0.248650075,0.7577796,1.720542,0.0,2
Step_R,Physics_TTA,1.0193078500000001,0.17495012,0.21726834500000003,0.0,2
Step_T,Real_Only_Scratch,0.08939710000000001,2.98267435,1.0006938,0.0,2
Step_T,Source_Only_ZeroShot,0.8330912500000001,0.8801879749999999,0.788743615,50.0,2
Step_T,FewShot_PEFT,0.31130811999999997,0.5947203750000001,1.1173781,0.0,2
Step_T,Domain_Transfer_MMD,0.266859055,0.595781808,1.134334875,0.0,2
Step_T,Physics_TTA,0.828466725,0.814255707,0.736571565,50.0,2
