Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.19689893516666668,2.73357115,0.7204496183333333,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.8771602100000001,1.9201860099999999,0.6410677183333333,16.666666666666664,6
Rectangular,FewShot_PEFT,0.11622545633333332,0.3654750196666667,0.75891617,66.66666666666666,6
Rectangular,Domain_Transfer_MMD,0.11673681366666666,0.24768750350000002,0.6514107616666668,66.66666666666666,6
Rectangular,Physics_TTA,0.8810740433333333,1.0634465100000001,0.5497964033333334,16.666666666666664,6
Ellipse,Real_Only_Scratch,0.337772055,1.3091766575000001,1.315679635,100.0,4
Ellipse,Source_Only_ZeroShot,0.7645325875,2.0089216,1.6718948500000002,0.0,4
Ellipse,FewShot_PEFT,0.169826808,1.14831235,1.1573271125,75.0,4
Ellipse,Domain_Transfer_MMD,0.18903403,1.35801385,1.405074425,50.0,4
Ellipse,Physics_TTA,0.71157399,0.8190474675000001,1.7660381499999998,0.0,4
Triangular,Real_Only_Scratch,0.12499098833333334,1.4796414999999998,1.8128563833333333,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.7116920833333333,0.6918156973333334,0.8579359249999999,0.0,6
Triangular,FewShot_PEFT,0.082378597,0.4515140791666667,1.2868078866666668,83.33333333333334,6
Triangular,Domain_Transfer_MMD,0.07030522785,0.4109183983333333,1.1033793883333336,83.33333333333334,6
Triangular,Physics_TTA,0.7129580766666667,0.2223839755,0.84964494,0.0,6
Step_R,Real_Only_Scratch,0.0533619825,2.0120034,0.49781431,0.0,2
Step_R,Source_Only_ZeroShot,1.1277979,1.11116363,1.1512090000000001,100.0,2
Step_R,FewShot_PEFT,0.12052979999999999,0.1411437975,0.96044565,100.0,2
Step_R,Domain_Transfer_MMD,0.105758995,0.183394435,0.859308135,0.0,2
Step_R,Physics_TTA,0.9278760500000001,0.20134353500000002,1.3954157999999999,100.0,2
Step_T,Real_Only_Scratch,0.097884565,2.1173544,2.1122229,0.0,2
Step_T,Source_Only_ZeroShot,0.8815326,3.146152,1.0976984,0.0,2
Step_T,FewShot_PEFT,0.247306225,0.73544071,0.74900747,0.0,2
Step_T,Domain_Transfer_MMD,0.24041357000000002,0.3404817566,0.60140907,0.0,2
Step_T,Physics_TTA,0.8091094999999999,0.9350142499999999,1.30553385,0.0,2
