Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.21744075333333332,4.6896525166666665,0.8596714350000001,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.728470705,0.8435096673333332,4.638833733333334,83.33333333333334,6
Rectangular,FewShot_PEFT,0.13085057833333333,0.748612885,0.46427653,50.0,6
Rectangular,Domain_Transfer_MMD,0.131541273,0.7351841916666667,0.3801798456666667,66.66666666666666,6
Rectangular,Physics_TTA,0.6782722099999999,0.809765028,4.2530882,83.33333333333334,6
Ellipse,Real_Only_Scratch,0.3625799125,1.2010662625,0.9217346000000001,75.0,4
Ellipse,Source_Only_ZeroShot,0.6485332175,1.1456375125,2.929805025,0.0,4
Ellipse,FewShot_PEFT,0.2367480095,2.045387025,1.9172539249999998,0.0,4
Ellipse,Domain_Transfer_MMD,0.255465885,1.3513936925,2.0705344,50.0,4
Ellipse,Physics_TTA,0.5929771125,0.58952761,2.389517175,0.0,4
Triangular,Real_Only_Scratch,0.08334701316666666,1.8131850666666667,1.3021053883333333,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.87022698,1.2712270199999998,4.942891033333333,0.0,6
Triangular,FewShot_PEFT,0.083795199,1.2059059083333332,1.6138534050000002,33.33333333333333,6
Triangular,Domain_Transfer_MMD,0.060470362833333326,1.3121700316666667,1.4250546733333334,50.0,6
Triangular,Physics_TTA,0.7919863,0.9667151800000001,4.498269166666667,0.0,6
Step_R,Real_Only_Scratch,0.14983766999999998,5.0914879,1.3502059000000002,0.0,2
Step_R,Source_Only_ZeroShot,1.15328415,0.42524767,4.92816545,0.0,2
Step_R,FewShot_PEFT,0.28119158499999997,0.36927795500000005,1.02320475,50.0,2
Step_R,Domain_Transfer_MMD,0.283055455,0.8398594850000001,0.85175701,50.0,2
Step_R,Physics_TTA,1.0993363999999999,0.38542842499999996,4.5999451,0.0,2
Step_T,Real_Only_Scratch,0.0630545,2.99868675,0.9819635,0.0,2
Step_T,Source_Only_ZeroShot,0.99019527,1.2406516,5.026214250000001,0.0,2
Step_T,FewShot_PEFT,0.26726308499999996,1.3740196,1.197445275,0.0,2
Step_T,Domain_Transfer_MMD,0.28150487,1.50169515,1.179466585,0.0,2
Step_T,Physics_TTA,0.9125204,0.9809083999999999,4.53101925,0.0,2
