Architecture,Evaluated_Model,Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1599,3.1426,1.0944,40.0,31.4,54.7,42.0,1.4656,1.7472,-2.535,-1.751
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,1.0977,1.2761,2.9027,274.4,12.8,145.1,144.1,1.7589,1.9786,-107.507,-13.613
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,FewShot_PEFT,20,35.0,"[15.0, 55.0]",36.67,33.58,"[12.5, 44.8]",0.169,0.1753,1.0028,1.1995,43.8,10.0,60.0,37.9,0.7926,1.0084,-2.954,-2.348
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Domain_Transfer_MMD,20,55.0,"[30.0, 75.0]",55.0,53.58,"[27.1, 68.1]",0.445,0.185,0.9967,1.1805,46.2,10.0,59.0,38.4,0.7874,1.0127,-3.408,-2.545
CNN,cnn_train_05pct_PINN_alpha_a10_W100_E300_seed_42_run_20260818_164904,Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,8.7,"[2.5, 14.6]",-0.045,1.0576,0.8831,2.7452,264.4,8.8,137.3,136.8,1.562,1.748,-100.693,-12.159
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,37.33,"[21.1, 53.3]",0.379,0.2073,3.6874,1.1928,51.8,36.9,59.6,49.4,1.6958,1.8089,-3.545,-1.982
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Source_Only_ZeroShot,20,25.0,"[5.0, 45.0]",16.67,9.09,"[2.7, 14.3]",-0.02,0.9118,1.5508,0.9173,227.9,15.5,45.9,96.4,1.1266,1.3908,-73.85,-1.338
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,FewShot_PEFT,20,30.0,"[10.0, 50.0]",33.33,25.97,"[8.6, 38.1]",0.117,0.1693,1.0783,1.0556,42.3,10.8,52.8,35.3,0.7677,0.9913,-2.607,-1.343
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Domain_Transfer_MMD,20,40.0,"[20.0, 60.0]",36.67,37.21,"[15.7, 53.0]",0.253,0.1739,0.9875,1.0132,43.5,9.9,50.7,34.7,0.7249,0.9368,-2.871,-1.282
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_42_run_20260819_103124,Physics_TTA,20,25.0,"[5.0, 45.0]",16.67,10.53,"[3.6, 15.7]",0.032,0.884,1.3138,0.8536,221.0,13.1,42.7,92.3,1.0172,1.2553,-70.142,-1.106
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1774,2.7096,1.2812,44.3,27.1,64.1,45.2,1.3894,1.6103,-3.078,-1.897
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Source_Only_ZeroShot,20,25.0,"[10.0, 45.0]",23.33,15.43,"[5.7, 24.4]",0.1,0.739,2.1725,0.6986,184.7,21.7,34.9,80.5,1.2034,1.2915,-48.003,-0.132
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,FewShot_PEFT,20,45.0,"[25.0, 65.0]",40.0,39.58,"[17.8, 58.0]",0.277,0.1962,0.9715,0.982,49.1,9.7,49.1,36.0,0.7166,0.8558,-4.497,-1.16
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Domain_Transfer_MMD,20,50.0,"[30.0, 75.0]",45.0,43.64,"[21.3, 61.2]",0.35,0.2204,0.9475,0.9791,55.1,9.5,49.0,37.8,0.7157,0.8495,-5.5,-1.083
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_456_run_20260819_054213,Physics_TTA,20,25.0,"[10.0, 45.0]",23.33,15.11,"[5.3, 24.5]",0.086,0.696,1.7452,0.6913,174.0,17.5,34.6,75.3,1.0442,1.1467,-42.895,-0.145
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2329,2.8562,1.0361,58.2,28.6,51.8,46.2,1.375,1.561,-5.463,-1.265
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",13.33,10.67,"[3.6, 16.4]",0.007,0.874,2.3389,0.7371,218.5,23.4,36.9,92.9,1.3167,1.5455,-68.962,-0.726
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,FewShot_PEFT,20,45.0,"[25.0, 65.0]",45.0,41.43,"[19.8, 58.2]",0.341,0.192,1.0011,0.9506,48.0,10.0,47.5,35.2,0.7146,0.8604,-4.473,-0.889
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Domain_Transfer_MMD,20,50.0,"[30.0, 70.0]",48.33,44.76,"[22.9, 61.5]",0.391,0.1977,0.9072,0.9235,49.4,9.1,46.2,34.9,0.6761,0.8341,-4.382,-0.864
CNN,cnn_train_05pct_PINN_base_a1_W100_E300_seed_789_run_20260821_123448,Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.89,"[2.7, 14.4]",-0.038,0.8375,1.876,0.7157,209.4,18.8,35.8,88.0,1.143,1.3567,-63.987,-0.624
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2,3.9763,1.0895,50.0,39.8,54.5,48.1,1.7552,1.9046,-3.475,-1.507
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",13.33,8.89,"[2.7, 15.8]",-0.033,0.8374,2.239,0.9378,209.3,22.4,46.9,92.9,1.3381,1.4563,-63.405,-0.742
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,FewShot_PEFT,20,35.0,"[15.0, 55.0]",38.33,33.33,"[12.4, 46.7]",0.195,0.2212,1.3297,0.9938,55.3,13.3,49.7,39.4,0.8482,1.0465,-4.596,-0.979
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Domain_Transfer_MMD,20,40.0,"[20.0, 65.0]",41.67,38.67,"[15.1, 55.7]",0.256,0.2374,1.0851,0.9127,59.3,10.9,45.6,38.6,0.7451,0.9165,-5.178,-0.819
CNN,cnn_train_07pct_PINN_base_a1_W100_E300_seed_42_run_20260819_122015,Physics_TTA,20,20.0,"[5.0, 40.0]",13.33,8.42,"[2.5, 15.0]",-0.051,0.8092,1.652,0.8954,202.3,16.5,44.8,87.9,1.1188,1.2127,-59.609,-0.618
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,28.61,"[13.3, 44.6]",0.214,0.1653,2.7018,1.1646,41.3,27.0,58.2,42.2,1.3439,1.5189,-2.54,-1.726
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Source_Only_ZeroShot,20,30.0,"[10.0, 50.0]",23.33,20.32,"[6.0, 32.1]",0.1,0.6821,2.1663,0.7239,170.5,21.7,36.2,76.1,1.1908,1.3542,-40.554,-0.649
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,FewShot_PEFT,20,35.0,"[15.0, 55.0]",36.67,26.81,"[13.3, 35.6]",0.18,0.1499,2.0057,0.9316,37.5,20.1,46.6,34.7,1.029,1.1924,-2.439,-0.686
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Domain_Transfer_MMD,20,45.0,"[25.0, 65.0]",45.0,36.97,"[17.3, 53.4]",0.309,0.1567,2.1765,0.9254,39.2,21.8,46.3,35.7,1.0862,1.263,-2.803,-0.675
CNN,cnn_train_10pct_PINN_base_a1_W100_E300_seed_42_run_20260819_140557,Physics_TTA,20,30.0,"[10.0, 50.0]",23.33,20.32,"[6.0, 32.1]",0.1,0.6716,1.8614,0.6945,167.9,18.6,34.7,73.7,1.0758,1.2411,-39.361,-0.423
