Architecture,Evaluated_Model,Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.215,3.1538,1.2861,53.8,31.5,64.3,49.9,1.5516,1.7085,-3.83,-1.896
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.3174,3.9579,2.9222,79.4,39.6,146.1,88.3,2.3992,2.5202,-9.225,-13.393
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.2397,3.0935,2.5954,59.9,30.9,129.8,73.5,1.9762,2.1083,-4.965,-10.58
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.2682,3.7793,2.8857,67.0,37.8,144.3,83.0,2.3111,2.4171,-6.555,-13.079
MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.3087,3.911,2.9113,77.2,39.1,145.6,87.3,2.377,2.4967,-8.708,-13.286
MLP_Multitask,mlp_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_045032,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1655,2.2946,1.0624,41.4,22.9,53.1,39.1,1.1742,1.3654,-3.002,-1.457
MLP_Multitask,mlp_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_045032,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,4.0,"[0.0, 8.7]",0.0,0.1354,11.2896,2.9842,33.9,112.9,149.2,98.7,4.8031,4.9635,-1.498,-14.081
MLP_Multitask,mlp_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_045032,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,4.0,"[0.0, 8.7]",0.0,0.1064,10.1701,2.7559,26.6,101.7,137.8,88.7,4.3441,4.5098,-0.747,-12.037
MLP_Multitask,mlp_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_045032,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,4.0,"[0.0, 8.7]",0.0,0.123,11.1074,2.7065,30.7,111.1,135.3,92.4,4.6456,4.8431,-1.402,-11.791
MLP_Multitask,mlp_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_045032,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.1343,11.1041,2.9357,33.6,111.0,146.8,97.1,4.7247,4.8857,-1.429,-13.642
MLP_Multitask,mlp_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2043,2.1446,1.0159,51.1,21.4,50.8,41.1,1.1216,1.3448,-4.768,-1.354
MLP_Multitask,mlp_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",6.67,5.71,"[0.0, 12.5]",-0.196,0.1506,4.1047,1.9931,37.7,41.0,99.7,59.5,2.0828,2.416,-1.688,-6.639
MLP_Multitask,mlp_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,FewShot_PEFT,20,10.0,"[0.0, 25.0]",6.67,5.71,"[0.0, 12.5]",-0.196,0.1435,3.6995,1.8623,35.9,37.0,93.1,55.3,1.9018,2.1811,-1.588,-5.753
MLP_Multitask,mlp_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",6.67,5.71,"[0.0, 12.5]",-0.196,0.1584,4.2305,2.147,39.6,42.3,107.3,63.1,2.1786,2.5473,-2.004,-7.805
MLP_Multitask,mlp_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,Physics_TTA,20,10.0,"[0.0, 25.0]",6.67,5.71,"[0.0, 12.5]",-0.196,0.1422,3.9477,1.9613,35.6,39.5,98.1,57.7,2.0171,2.3299,-1.49,-6.412
MLP_Multitask,mlp_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1782,2.3985,0.8996,44.6,24.0,45.0,37.8,1.1588,1.3968,-2.681,-0.742
MLP_Multitask,mlp_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157,Source_Only_ZeroShot,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.7665,11.494,6.2121,691.6,114.9,310.6,372.4,6.8242,7.0591,-686.173,-61.467
MLP_Multitask,mlp_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157,FewShot_PEFT,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.6175,10.1359,5.897,654.4,101.4,294.9,350.2,6.2168,6.4582,-615.328,-55.43
MLP_Multitask,mlp_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157,Domain_Transfer_MMD,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.1311,11.7746,5.1893,532.8,117.7,259.5,303.3,6.365,6.6459,-418.83,-43.417
MLP_Multitask,mlp_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157,Physics_TTA,20,30.0,"[10.0, 50.0]",20.0,9.23,"[3.6, 16.7]",0.0,2.7638,11.0443,6.1845,690.9,110.4,309.2,370.2,6.6642,6.8996,-684.732,-60.927
MLP_Multitask,mlp_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2438,2.3506,1.1485,60.9,23.5,57.4,47.3,1.2476,1.4801,-6.774,-2.212
MLP_Multitask,mlp_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221,Source_Only_ZeroShot,20,20.0,"[5.0, 40.0]",20.0,10.67,"[2.2, 21.2]",-0.033,0.2545,13.1136,6.4039,63.6,131.1,320.2,171.7,6.5907,6.6653,-6.269,-63.896
MLP_Multitask,mlp_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221,FewShot_PEFT,20,20.0,"[5.0, 40.0]",20.0,10.67,"[2.2, 21.2]",-0.033,0.257,11.7862,6.1141,64.2,117.9,305.7,162.6,6.0524,6.1286,-6.429,-58.221
MLP_Multitask,mlp_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221,Domain_Transfer_MMD,20,20.0,"[5.0, 40.0]",20.0,10.7,"[2.4, 21.1]",-0.016,0.2836,11.3385,5.2029,70.9,113.4,260.1,148.1,5.6084,5.6982,-7.615,-42.17
MLP_Multitask,mlp_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221,Physics_TTA,20,20.0,"[5.0, 40.0]",20.0,10.76,"[2.1, 21.2]",-0.051,0.2565,12.8538,6.3989,64.1,128.5,319.9,170.9,6.5031,6.5809,-6.315,-63.798
MLP_Multitask,mlp_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,33.45,"[17.9, 49.7]",0.301,0.2604,2.9596,1.1682,65.1,29.6,58.4,51.0,1.4628,1.7518,-6.941,-1.874
MLP_Multitask,mlp_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209,Source_Only_ZeroShot,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.155,0.2138,14.9224,5.0798,53.5,149.2,254.0,152.2,6.7387,6.9477,-3.718,-41.705
MLP_Multitask,mlp_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209,FewShot_PEFT,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.155,0.1769,13.7438,4.8481,44.2,137.4,242.4,141.4,6.2563,6.4494,-2.49,-37.91
MLP_Multitask,mlp_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209,Domain_Transfer_MMD,20,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",-0.238,0.161,13.0942,4.6255,40.2,130.9,231.3,134.2,5.9602,6.157,-1.877,-34.371
MLP_Multitask,mlp_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209,Physics_TTA,20,5.0,"[0.0, 15.0]",10.0,2.86,"[0.0, 8.0]",-0.155,0.2168,14.623,5.0455,54.2,146.2,252.3,150.9,6.6284,6.8366,-3.823,-41.067
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260828_215732,Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,37.33,"[21.1, 53.3]",0.379,0.2257,2.9553,1.1862,56.4,29.6,59.3,48.4,1.4557,1.6596,-5.341,-1.805
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260828_215732,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,1.0396,1.6179,0.6991,259.9,16.2,35.0,103.7,1.1189,1.2899,-94.427,-0.069
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260828_215732,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.9033,1.5916,0.7077,225.8,15.9,35.4,92.4,1.0675,1.236,-71.46,-0.094
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260828_215732,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.8915,1.8541,0.6705,222.9,18.5,33.5,91.6,1.1387,1.3378,-69.895,-0.134
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260828_215732,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,1.026,1.5354,0.6984,256.5,15.4,34.9,102.3,1.0866,1.2509,-91.948,-0.075
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260829_050236,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.1903,2.3587,1.0756,47.6,23.6,53.8,41.7,1.2082,1.3568,-3.283,-1.181
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260829_050236,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.1721,14.9483,1.9967,43.0,149.5,99.8,97.4,5.7057,6.028,-3.284,-6.285
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260829_050236,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.1574,13.409,1.745,39.4,134.1,87.3,86.9,5.1038,5.4522,-2.822,-4.808
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260829_050236,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",-0.019,0.1512,14.5974,2.2301,37.8,146.0,111.5,98.4,5.6596,6.02,-2.848,-7.901
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260829_050236,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.1615,14.4488,1.9854,40.4,144.5,99.3,94.7,5.5319,5.8503,-2.85,-6.208
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_013733,Real_Only_Scratch,20,40.0,"[20.0, 65.0]",30.0,29.33,"[13.9, 45.0]",0.227,0.2203,3.4374,1.2555,55.1,34.4,62.8,50.7,1.6377,1.8301,-3.818,-2.21
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_013733,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.9354,6.7755,3.944,233.9,67.8,197.2,166.3,3.885,4.0617,-76.108,-24.942
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_013733,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.8298,5.6399,3.6558,207.4,56.4,182.8,148.9,3.3751,3.5407,-60.102,-21.479
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_013733,Domain_Transfer_MMD,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,1.0542,6.1468,4.011,263.5,61.5,200.5,175.2,3.7373,3.8965,-96.445,-25.727
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_013733,Physics_TTA,20,10.0,"[0.0, 25.0]",20.0,3.81,"[0.0, 8.3]",0.0,0.9229,6.5728,3.9675,230.7,65.7,198.4,164.9,3.8211,3.9942,-74.186,-25.234
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_015734,Real_Only_Scratch,20,50.0,"[30.0, 70.1]",40.0,36.61,"[20.6, 52.8]",0.366,0.1777,2.9302,1.0327,44.4,29.3,51.6,41.8,1.3802,1.6085,-2.773,-1.753
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_015734,Source_Only_ZeroShot,20,5.0,"[0.0, 15.0]",10.0,2.5,"[0.0, 7.1]",-0.088,0.1254,12.4833,1.0526,31.3,124.8,52.6,69.6,4.5537,4.7673,-1.123,-1.755
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_015734,FewShot_PEFT,20,5.0,"[0.0, 15.0]",10.0,2.5,"[0.0, 7.1]",-0.088,0.1177,10.8445,0.9043,29.4,108.4,45.2,61.0,3.9555,4.1735,-0.809,-1.206
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_015734,Domain_Transfer_MMD,20,5.0,"[0.0, 15.0]",10.0,2.5,"[0.0, 7.1]",-0.088,0.1451,11.1018,1.0334,36.3,111.0,51.7,66.3,4.0934,4.3521,-1.355,-1.664
MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_015734,Physics_TTA,20,5.0,"[0.0, 15.0]",10.0,2.5,"[0.0, 7.1]",-0.088,0.1266,12.4888,1.0467,31.7,124.9,52.3,69.6,4.5541,4.762,-1.181,-1.705
MLP_Multitask,mlp_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260829_061905,Real_Only_Scratch,20,45.0,"[25.0, 70.0]",35.0,32.73,"[17.4, 49.3]",0.289,0.1846,2.9126,1.0874,46.2,29.1,54.4,43.2,1.3949,1.7229,-2.921,-1.688
MLP_Multitask,mlp_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260829_061905,Source_Only_ZeroShot,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.1032,16.502,1.9362,25.8,165.0,96.8,95.9,6.1805,6.5081,-0.486,-6.627
MLP_Multitask,mlp_train_07pct_PINN_base_a1_W0_E300_seed_42_run_20260829_061905,FewShot_PEFT,20,10.0,"[0.0, 25.0]",20.0,3.64,"[0.0, 8.3]",0.0,0.0811,14.8629,1.7388,20.3,148.6,86.9,85.3,5.5609,5.877,0.042,-5.227
