Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.23794209333333335,4.40364855,0.9579556716666667,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.21392672166666662,13.991424999999998,5.042200966666667,0.0,6
Rectangular,FewShot_PEFT,0.17133657133333333,13.061692833333334,4.8619434833333335,0.0,6
Rectangular,Domain_Transfer_MMD,0.14914452,12.246918333333335,4.73132415,0.0,6
Rectangular,Physics_TTA,0.2185294916666667,13.6691225,5.012264166666667,0.0,6
Ellipse,Real_Only_Scratch,0.49748115000000004,1.4945486749999999,1.0026860000000002,75.0,4
Ellipse,Source_Only_ZeroShot,0.3062644275,11.6377242,3.40557725,0.0,4
Ellipse,FewShot_PEFT,0.266668155,10.832489375,3.2474702749999995,0.0,4
Ellipse,Domain_Transfer_MMD,0.2292626425,10.261004,3.0673042500000003,0.0,4
Ellipse,Physics_TTA,0.307998975,11.3913947,3.420892625,0.0,4
Triangular,Real_Only_Scratch,0.2706991683333333,2.5552731333333334,1.568731256666667,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.2588926466666667,16.544654666666666,6.2521719000000004,0.0,6
Triangular,FewShot_PEFT,0.22858110499999998,15.056699333333334,5.959884766666666,0.0,6
Triangular,Domain_Transfer_MMD,0.21878685666666664,14.9517395,5.642943516666667,0.0,6
Triangular,Physics_TTA,0.26151735000000004,16.244987833333333,6.195454816666667,0.0,6
Step_R,Real_Only_Scratch,0.06497433849999999,2.5192339,0.743728995,0.0,2
Step_R,Source_Only_ZeroShot,0.0475232155,17.380867000000002,5.1351414,50.0,2
Step_R,FewShot_PEFT,0.0082190335,15.8722305,4.8474138,50.0,2
Step_R,Domain_Transfer_MMD,0.015464395499999999,14.445912499999999,4.5048892,0.0,2
Step_R,Physics_TTA,0.050673276,17.0188,5.0819081,50.0,2
Step_T,Real_Only_Scratch,0.01845423885,3.2111869,1.35290065,0.0,2
Step_T,Source_Only_ZeroShot,0.059654355000000006,16.959052999999997,4.96885015,0.0,2
Step_T,FewShot_PEFT,0.027507781999999998,15.545809,4.6733738,0.0,2
Step_T,Domain_Transfer_MMD,0.031954541,14.378418750000002,4.4922755,0.0,2
Step_T,Physics_TTA,0.061113358000000007,16.6862245,4.9078435,0.0,2
