Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.2332099333333333,4.830981683333333,0.7921497816666666,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.10411025043333333,15.740252833333336,1.94099305,0.0,6
Rectangular,FewShot_PEFT,0.07881529155,14.182625,1.7372044166666665,0.0,6
Rectangular,Domain_Transfer_MMD,0.11614257166666668,12.489495833333335,2.073329525,0.0,6
Rectangular,Physics_TTA,0.09207965968333336,15.498519166666668,1.9084814450000003,0.0,6
Ellipse,Real_Only_Scratch,0.21377738075,1.2951824575,1.2081318575,75.0,4
Ellipse,Source_Only_ZeroShot,0.075227706,10.927174,0.20021169874999997,0.0,4
Ellipse,FewShot_PEFT,0.08556039625,9.663363375,0.18512421937499998,0.0,4
Ellipse,Domain_Transfer_MMD,0.076861158,10.44344505,0.23364853812500003,0.0,4
Ellipse,Physics_TTA,0.0809593955,10.829529375,0.20339131525,0.0,4
Triangular,Real_Only_Scratch,0.134058754,1.66129646,1.2179242966666666,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.0389214055,18.656806333333332,2.94555205,0.0,6
Triangular,FewShot_PEFT,0.015891263616666665,16.843520833333333,2.6896693,0.0,6
Triangular,Domain_Transfer_MMD,0.02019924898333333,16.848597166666668,3.162239633333334,0.0,6
Triangular,Physics_TTA,0.027434696499999998,18.341872833333333,2.9623924833333333,0.0,6
Step_R,Real_Only_Scratch,0.24680638,5.4956855000000004,1.4274955,0.0,2
Step_R,Source_Only_ZeroShot,0.2171956,20.3870705,2.1439947999999998,100.0,2
Step_R,FewShot_PEFT,0.16859299,18.4935045,1.86556435,100.0,2
Step_R,Domain_Transfer_MMD,0.18464011,18.1987285,2.2388889499999998,100.0,2
Step_R,Physics_TTA,0.21166395999999998,20.048416,2.1994784000000003,100.0,2
Step_T,Real_Only_Scratch,0.06995058200000001,1.5633845,1.00047435,0.0,2
Step_T,Source_Only_ZeroShot,0.235042575,19.5872255,2.1579532500000003,0.0,2
Step_T,FewShot_PEFT,0.18708086000000002,17.7300215,1.8717225,0.0,2
Step_T,Domain_Transfer_MMD,0.201220095,17.436253,2.3106721,0.0,2
Step_T,Physics_TTA,0.22439730000000002,19.2464825,2.0877537999999998,0.0,2
