Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.276612635,4.825418283333334,0.9574159716666667,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.6999999,1107.3632166666669,36.919747,100.0,6
Rectangular,FewShot_PEFT,0.6999999,1103.9536833333332,36.4110385,0.0,6
Rectangular,Domain_Transfer_MMD,0.6999999,1103.5579833333334,36.41613533333333,0.0,6
Rectangular,Physics_TTA,0.6999999,1107.0905666666667,36.957502999999996,0.0,6
Ellipse,Real_Only_Scratch,0.38585850499999996,1.822394875,1.0606972125,100.0,4
Ellipse,Source_Only_ZeroShot,0.7999999,1107.341525,35.91992625,0.0,4
Ellipse,FewShot_PEFT,0.7999999,1103.9319,35.411205499999994,0.0,4
Ellipse,Domain_Transfer_MMD,0.7999999,1103.5456,35.416242499999996,0.0,4
Ellipse,Physics_TTA,0.7999999,1107.0869,35.95740925,0.0,4
Triangular,Real_Only_Scratch,0.149260939,1.1102776583333334,1.3607201224999999,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.6999999,1107.3464,36.919903833333336,0.0,6
Triangular,FewShot_PEFT,0.6999999,1103.9368666666667,36.411188833333334,0.0,6
Triangular,Domain_Transfer_MMD,0.6999999,1103.5486166666667,36.41621683333333,0.0,6
Triangular,Physics_TTA,0.6999999,1107.0751166666666,36.95764766666666,100.0,6
Step_R,Real_Only_Scratch,0.139036475,2.368881,0.44085312,0.0,2
Step_R,Source_Only_ZeroShot,0.49999997,1107.3474500000002,35.9198705,0.0,2
Step_R,FewShot_PEFT,0.49999997,1103.9378,35.411153999999996,0.0,2
Step_R,Domain_Transfer_MMD,0.49999997,1103.5489,35.4162015,0.0,2
Step_R,Physics_TTA,0.49999997,1107.0760500000001,35.957620000000006,0.0,2
Step_T,Real_Only_Scratch,0.10253733500000001,1.6738796,1.304729,0.0,2
Step_T,Source_Only_ZeroShot,0.49999997,1107.3330999999998,35.91992,0.0,2
Step_T,FewShot_PEFT,0.49999997,1103.9234000000001,35.411196000000004,100.0,2
Step_T,Domain_Transfer_MMD,0.49999997,1103.5412999999999,35.416219,100.0,2
Step_T,Physics_TTA,0.49999997,1107.06165,35.957664,0.0,2
