Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D,Model_Type,Data_Scale,Checkpoint,Model_Tag
PI_LGL,10,100.0,"[100.0, 100.0]",100.0,100.0,"[100.0, 100.0]",1.0,0.0609,1.2257,0.4832,15.2,12.3,24.2,17.2,0.5899,0.7492,0.514,0.49,Baseline,1%,cnn/Outputs_cnn_baseline/train_01pct/NoPINN_E300_seed_42_run_20260818_100422,cnn_baseline_train_01pct_NoPINN_E300_seed_42_run_20260818_100422
PI_LGL,10,100.0,"[100.0, 100.0]",100.0,100.0,"[100.0, 100.0]",1.0,0.0598,0.8745,0.5246,14.9,8.7,26.2,16.6,0.4863,0.5871,0.619,0.394,Baseline,3%,cnn/Outputs_cnn_baseline/train_03pct/NoPINN_E300_seed_42_run_20260820_131219,cnn_baseline_train_03pct_NoPINN_E300_seed_42_run_20260820_131219
PI_LGL,10,90.0,"[70.0, 100.0]",80.0,77.14,"[60.0, 100.0]",0.877,0.0731,1.1925,0.4637,18.3,11.9,23.2,17.8,0.5764,0.7241,0.373,0.369,Baseline,5% (seed 42),cnn/Outputs_cnn_baseline/train_05pct/NoPINN_E300_seed_42_run_20260818_135833,cnn_baseline_train_05pct_NoPINN_E300_seed_42_run_20260818_135833
PI_LGL,10,100.0,"[100.0, 100.0]",100.0,100.0,"[100.0, 100.0]",1.0,0.0917,0.967,0.5867,22.9,9.7,29.3,20.6,0.5485,0.6674,-0.294,0.218,Baseline,5% (seed 123),cnn/Outputs_cnn_baseline/train_05pct/NoPINN_E300_seed_123_run_20260819_010320,cnn_baseline_train_05pct_NoPINN_E300_seed_123_run_20260819_010320
PI_LGL,10,100.0,"[100.0, 100.0]",100.0,100.0,"[100.0, 100.0]",1.0,0.0757,0.7239,0.469,18.9,7.2,23.4,16.5,0.4229,0.513,0.263,0.495,Baseline,5% (seed 456),cnn/Outputs_cnn_baseline/train_05pct/NoPINN_E300_seed_456_run_20260819_044511,cnn_baseline_train_05pct_NoPINN_E300_seed_456_run_20260819_044511
PI_LGL,10,90.0,"[70.0, 100.0]",80.0,77.14,"[60.0, 100.0]",0.877,0.065,1.0888,0.6276,16.3,10.9,31.4,19.5,0.5938,0.7246,0.356,0.082,Baseline,5% (seed 789),cnn/Outputs_cnn_baseline/train_05pct/NoPINN_E300_seed_789_run_20260819_082332,cnn_baseline_train_05pct_NoPINN_E300_seed_789_run_20260819_082332
PI_LGL,10,90.0,"[70.0, 100.0]",80.0,77.14,"[60.0, 100.0]",0.877,0.1068,1.207,0.5235,26.7,12.1,26.2,21.6,0.6124,0.8308,-0.536,0.412,Baseline,7%,cnn/Outputs_cnn_baseline/train_07pct/NoPINN_E300_seed_42_run_20260819_100621,cnn_baseline_train_07pct_NoPINN_E300_seed_42_run_20260819_100621
PI_LGL,10,90.0,"[70.0, 100.0]",80.0,77.14,"[60.0, 100.0]",0.877,0.0934,1.4522,0.6013,23.3,14.5,30.1,22.6,0.7156,0.8738,-0.127,0.334,Baseline,10%,cnn/Outputs_cnn_baseline/train_10pct/NoPINN_E300_seed_42_run_20260819_115152,cnn_baseline_train_10pct_NoPINN_E300_seed_42_run_20260819_115152
PI_LGL,10,80.0,"[50.0, 100.0]",70.0,67.62,"[36.5, 100.0]",0.748,0.0849,0.3485,0.5132,21.2,3.5,25.7,16.8,0.3155,0.384,0.072,0.295,PINN,1%,cnn/Outputs_cnn_pinn/loss_log1p_norm_sse/train_01pct/PINN_base_a1_W100_E300_seed_42_run_20260818_113240,cnn_train_01pct_PINN_base_a1_W100_E300_seed_42_run_20260818_113240
PI_LGL,10,90.0,"[70.0, 100.0]",80.0,73.33,"[50.0, 100.0]",0.88,0.1331,0.5074,0.5827,33.3,5.1,29.1,22.5,0.4077,0.4983,-1.437,0.194,PINN,3%,cnn/Outputs_cnn_pinn/loss_log1p_norm_sse/train_03pct/PINN_base_a1_W100_E300_seed_42_run_20260818_145411,cnn_train_03pct_PINN_base_a1_W100_E300_seed_42_run_20260818_145411
