Method,Num_Samples,Clf_Accuracy (%),Acc_95CI,Balanced_Acc (%),F1_Macro (%),F1_95CI,MCC,MAE_W (mm),MAE_L (mm),MAE_D (mm),NMAE_W (%),NMAE_L (%),NMAE_D (%),Overall_NMAE (%),Overall_MAE (mm),Overall_RMSE (mm),R2_W,R2_D,Architecture,Model_Tag,Checkpoint_Dir
PI_LGL,10,30.0,"[0.0, 60.0]",40.0,21.0,"[0.0, 38.6]",0.301,0.0936,0.9496,1.7496,23.4,9.5,87.5,40.1,0.9309,1.088,-0.391,-4.815,MLP_Multitask,mlp_train_01pct_PINN_base_a1_W0_E300_seed_42_run_20260828_161012,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_01pct\PINN_base_a1_W0_E300_seed_42_run_20260828_161012
PI_LGL,10,30.0,"[0.0, 60.0]",40.0,21.71,"[0.0, 38.7]",0.265,0.0944,7.8194,2.238,23.6,78.2,111.9,71.2,3.3839,3.5787,-0.342,-7.832,MLP_Multitask,mlp_train_03pct_PINN_base_a1_W0_E300_seed_42_run_20260829_045032,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_03pct\PINN_base_a1_W0_E300_seed_42_run_20260829_045032
PI_LGL,10,10.0,"[0.0, 30.0]",6.67,6.67,"[0.0, 18.8]",-0.187,0.0959,2.3482,1.8094,24.0,23.5,90.5,46.0,1.4178,1.5846,-0.12,-5.066,MLP_Multitask,mlp_train_05pct_PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_alpha_a0_W0_E300_seed_42_run_20260828_161012
PI_LGL,10,30.0,"[0.0, 60.0]",20.0,9.23,"[0.0, 22.2]",0.0,2.1528,7.8813,5.0049,538.2,78.8,250.2,289.1,5.013,5.2885,-423.452,-40.218,MLP_Multitask,mlp_train_05pct_PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_alpha_a1000_W0_E300_seed_42_run_20260828_212157
PI_LGL,10,20.0,"[0.0, 50.0]",20.0,20.0,"[0.0, 33.3]",-0.115,0.1557,8.6386,5.3546,38.9,86.4,267.7,131.0,4.7163,4.8125,-2.06,-44.758,MLP_Multitask,mlp_train_05pct_PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_alpha_a100_W0_E300_seed_42_run_20260828_181221
PI_LGL,10,50.0,"[20.0, 80.0]",40.0,37.14,"[20.0, 50.0]",0.43,0.1223,10.5139,4.1289,30.6,105.1,206.4,114.1,4.9217,5.0669,-0.577,-27.084,MLP_Multitask,mlp_train_05pct_PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_alpha_a10_W0_E300_seed_42_run_20260828_172209
PI_LGL,10,30.0,"[0.0, 60.0]",40.0,21.0,"[0.0, 38.6]",0.301,0.5849,1.454,0.7549,146.2,14.5,37.7,66.2,0.9313,1.0845,-30.096,-0.142,MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_123_run_20260828_215732,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_123_run_20260828_215732
PI_LGL,10,30.0,"[0.0, 60.0]",40.0,21.0,"[0.0, 38.6]",0.301,0.1171,8.7285,1.0471,29.3,87.3,52.4,56.3,3.2975,3.6884,-1.07,-1.625,MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_42_run_20260829_050236,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_42_run_20260829_050236
PI_LGL,10,40.0,"[10.0, 70.0]",46.67,31.71,"[8.0, 58.3]",0.39,0.5908,3.4477,3.0086,147.7,34.5,150.4,110.9,2.3491,2.5353,-30.373,-14.333,MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_456_run_20260829_013733,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_456_run_20260829_013733
PI_LGL,10,30.0,"[0.0, 60.0]",40.0,22.67,"[0.0, 37.5]",0.248,0.105,7.633,0.6373,26.2,76.3,31.9,44.8,2.7918,2.9536,-0.438,-0.19,MLP_Multitask,mlp_train_05pct_PINN_base_a1_W0_E300_seed_789_run_20260829_015734,C:\Users\Admin\Documents\paper\PINN_ECT\mlp\Outputs_mlp_pinn\loss_mse\train_05pct\PINN_base_a1_W0_E300_seed_789_run_20260829_015734
