Class,Method,MAE_W,MAE_L,MAE_D,Accuracy,Count
Rectangular,Real_Only_Scratch,0.29084479999999996,5.509301566666667,1.2188278933333334,33.33333333333333,6
Rectangular,Source_Only_ZeroShot,0.8471270816666667,4.5580209,0.6006943323333334,50.0,6
Rectangular,FewShot_PEFT,0.1435058805,0.7395063888333334,0.6716819833333334,83.33333333333334,6
Rectangular,Domain_Transfer_MMD,0.13804389133333334,1.0636882783333335,0.5960718906666667,83.33333333333334,6
Rectangular,Physics_TTA,0.834680735,4.620899883333334,0.5702678449166666,50.0,6
Ellipse,Real_Only_Scratch,0.2317981275,1.3431746875,1.28715715,75.0,4
Ellipse,Source_Only_ZeroShot,0.897006365,5.180290725,0.9905577,0.0,4
Ellipse,FewShot_PEFT,0.19439284499999998,5.227042699999999,1.8599249249999998,25.0,4
Ellipse,Domain_Transfer_MMD,0.20036038625000002,4.36021805,1.92909505,50.0,4
Ellipse,Physics_TTA,0.9239601749999999,4.7651641499999995,1.0193964174999999,0.0,4
Triangular,Real_Only_Scratch,0.09154831333333334,2.3364426500000004,1.1588378983333332,66.66666666666666,6
Triangular,Source_Only_ZeroShot,0.8794689133333332,4.999051883333333,0.833153572,0.0,6
Triangular,FewShot_PEFT,0.0970056565,1.190174445,0.7855363475,0.0,6
Triangular,Domain_Transfer_MMD,0.10358996116666667,1.3920491549999998,0.7754884020833334,16.666666666666664,6
Triangular,Physics_TTA,0.8443492733333334,4.964716133333334,0.8607789838333333,0.0,6
Step_R,Real_Only_Scratch,0.020864725,3.2309856000000003,0.96317458,0.0,2
Step_R,Source_Only_ZeroShot,1.07613315,4.428911149999999,1.00717463,50.0,2
Step_R,FewShot_PEFT,0.34982401,0.4517703,1.2077209500000001,50.0,2
Step_R,Domain_Transfer_MMD,0.35660249,0.33901311199999995,1.22187635,50.0,2
Step_R,Physics_TTA,1.05729395,4.23678975,1.02609167,100.0,2
Step_T,Real_Only_Scratch,0.087627812,1.0270934,1.1623079500000002,0.0,2
Step_T,Source_Only_ZeroShot,0.99271463,3.15349005,0.922308575,0.0,2
Step_T,FewShot_PEFT,0.37204408499999997,1.1762104,1.24128977,0.0,2
Step_T,Domain_Transfer_MMD,0.35726237,1.13025855,1.2763729,0.0,2
Step_T,Physics_TTA,0.99439385,2.9936056,0.804577815,0.0,2
